region_name,region_risk_level,recorded_at,year,month,day_of_year,is_rainy_season,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms,soil_moisture_pct,risk_level
Nyabarongo Basin (Muhanga),moderate,2015-02-12,2015,2,43,0,0.42,21.38,67.43,1.42,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-13,2015,2,44,0,1.15,21.54,65.48,1.1,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-14,2015,2,45,0,2.4,21.17,70.43,1.17,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-15,2015,2,46,0,5.13,19.84,77.12,1.12,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-16,2015,2,47,0,3.43,20.15,76.41,0.86,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-17,2015,2,48,0,26.59,19.39,81.86,0.66,68.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-02-18,2015,2,49,0,5.86,19.97,71.52,1.11,72.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-19,2015,2,50,0,1.44,21.02,68.9,1.12,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-20,2015,2,51,0,0.97,21.12,69.87,1.2,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-21,2015,2,52,0,0.62,20.77,72.68,1.14,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-22,2015,2,53,0,0.68,21.39,72.12,1.33,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-23,2015,2,54,0,2.44,21.06,73.22,1.16,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-24,2015,2,55,0,1.9,20.99,72.78,0.84,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-25,2015,2,56,0,2.42,18.81,81.93,1.1,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-26,2015,2,57,0,0.49,19.69,73.19,1.12,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-27,2015,2,58,0,0.6,20.83,67.43,1.08,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-28,2015,2,59,0,7.31,19.73,77.46,0.89,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-01,2015,3,60,1,0.85,19.76,75.01,0.94,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-02,2015,3,61,1,0.67,20.27,70.97,1.03,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-03,2015,3,62,1,5.04,20.19,75.83,1.07,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-04,2015,3,63,1,7.3,19.87,75.75,1.15,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-05,2015,3,64,1,0.48,19.67,72.2,1.11,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-06,2015,3,65,1,1.76,20.17,69.11,1.07,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-07,2015,3,66,1,0.63,20.69,67.68,1.17,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-08,2015,3,67,1,1.59,20.81,70.0,1.39,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-09,2015,3,68,1,0.25,21.4,66.39,1.58,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-10,2015,3,69,1,0.22,21.89,57.12,1.24,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-11,2015,3,70,1,0.16,22.62,60.12,1.2,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-12,2015,3,71,1,0.63,21.57,68.93,1.35,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-13,2015,3,72,1,1.09,21.41,71.31,1.26,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-14,2015,3,73,1,1.35,20.99,71.9,1.46,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-15,2015,3,74,1,0.49,21.79,64.12,1.96,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-16,2015,3,75,1,0.0,21.14,57.25,2.05,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-17,2015,3,76,1,1.55,22.31,58.18,1.62,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-18,2015,3,77,1,2.26,21.74,69.76,1.47,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-19,2015,3,78,1,2.78,21.77,70.04,1.7,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-20,2015,3,79,1,2.94,22.22,66.77,1.81,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-21,2015,3,80,1,6.61,21.62,71.94,1.65,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-22,2015,3,81,1,2.95,20.83,78.95,1.69,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-23,2015,3,82,1,1.94,20.94,78.27,1.51,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-03-24,2015,3,83,1,35.29,18.27,92.51,1.4,70.0,high
Nyabarongo Basin (Muhanga),moderate,2015-03-25,2015,3,84,1,4.71,19.52,85.15,1.23,73.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-26,2015,3,85,1,4.11,19.9,83.67,1.34,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-27,2015,3,86,1,4.41,20.1,80.99,1.07,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-28,2015,3,87,1,11.65,19.79,83.9,0.91,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-29,2015,3,88,1,5.75,19.39,82.9,1.79,73.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-30,2015,3,89,1,4.59,19.87,80.53,0.84,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-03-31,2015,3,90,1,2.71,19.57,83.42,1.09,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-01,2015,4,91,1,3.83,19.37,81.63,1.27,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-02,2015,4,92,1,0.78,20.12,76.75,1.03,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-03,2015,4,93,1,9.51,19.87,82.89,0.96,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-04,2015,4,94,1,15.81,18.54,84.59,1.47,73.0,high
Nyabarongo Basin (Muhanga),moderate,2015-04-05,2015,4,95,1,3.46,19.43,82.65,0.83,74.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-06,2015,4,96,1,0.94,19.14,83.19,0.95,73.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-07,2015,4,97,1,5.8,18.42,87.2,0.91,73.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-08,2015,4,98,1,0.84,20.71,74.22,0.72,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-09,2015,4,99,1,2.42,19.73,80.47,1.01,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-10,2015,4,100,1,1.18,20.23,78.28,0.68,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-11,2015,4,101,1,0.53,19.52,79.35,1.01,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-12,2015,4,102,1,1.38,19.9,77.85,1.09,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-13,2015,4,103,1,1.05,20.79,77.12,1.07,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-14,2015,4,104,1,1.1,21.4,73.13,0.53,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-04-15,2015,4,105,1,4.41,20.31,79.06,1.07,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-04-16,2015,4,106,1,5.7,19.45,82.7,1.22,69.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-17,2015,4,107,1,3.2,19.55,80.73,1.12,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-18,2015,4,108,1,5.24,19.72,81.03,1.28,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-19,2015,4,109,1,6.14,19.61,79.98,1.37,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-20,2015,4,110,1,4.56,19.53,79.67,1.27,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-21,2015,4,111,1,8.55,18.94,79.66,1.23,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-22,2015,4,112,1,2.97,19.17,81.19,1.47,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-23,2015,4,113,1,4.92,19.38,80.27,1.58,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-24,2015,4,114,1,2.01,18.79,80.59,1.75,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-25,2015,4,115,1,1.72,19.11,76.45,1.48,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-26,2015,4,116,1,2.21,19.21,80.77,1.06,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-27,2015,4,117,1,9.16,19.12,81.56,1.1,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-28,2015,4,118,1,5.77,18.58,85.11,0.94,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-29,2015,4,119,1,1.94,19.89,76.21,0.65,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-04-30,2015,4,120,1,2.46,19.41,81.33,0.7,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-01,2015,5,121,1,2.56,19.24,83.25,1.25,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-02,2015,5,122,1,5.61,19.0,87.38,1.35,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-03,2015,5,123,1,3.64,18.53,85.61,1.37,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-04,2015,5,124,1,2.52,19.61,82.08,1.45,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-05,2015,5,125,1,1.47,19.29,81.44,1.78,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-06,2015,5,126,1,2.87,19.41,81.14,1.57,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-07,2015,5,127,1,3.94,18.96,83.08,1.32,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-08,2015,5,128,1,4.71,18.93,83.89,1.39,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-09,2015,5,129,1,5.4,18.91,86.47,1.36,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-10,2015,5,130,1,1.48,19.83,79.42,0.99,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-11,2015,5,131,1,2.22,19.95,78.5,1.24,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-12,2015,5,132,1,1.64,19.3,82.0,1.28,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-13,2015,5,133,1,2.47,19.98,81.04,1.17,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-14,2015,5,134,1,3.06,19.67,84.99,1.43,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-15,2015,5,135,1,2.83,19.92,83.51,1.33,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-16,2015,5,136,1,5.69,19.97,82.38,1.12,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-17,2015,5,137,1,6.0,19.58,83.3,1.3,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-18,2015,5,138,1,3.54,19.17,78.76,1.12,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-19,2015,5,139,1,0.88,19.54,75.36,1.22,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-20,2015,5,140,1,0.28,19.3,73.82,1.23,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-21,2015,5,141,1,2.3,18.88,76.0,0.99,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-22,2015,5,142,1,0.47,19.18,75.06,1.18,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-23,2015,5,143,1,0.23,19.59,71.52,1.2,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-24,2015,5,144,1,3.02,20.23,75.63,1.05,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-25,2015,5,145,1,6.65,19.49,80.5,1.31,69.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-26,2015,5,146,1,2.39,19.24,78.82,1.34,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-05-27,2015,5,147,1,1.83,19.41,77.4,1.34,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-28,2015,5,148,1,0.49,20.17,74.89,1.22,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-29,2015,5,149,1,1.71,19.71,77.7,1.5,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-30,2015,5,150,1,7.68,20.18,76.2,1.34,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-05-31,2015,5,151,1,3.5,19.8,78.91,1.39,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-06-01,2015,6,152,0,5.42,19.21,81.52,1.12,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-06-02,2015,6,153,0,3.99,19.04,82.3,1.06,70.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-06-03,2015,6,154,0,1.74,19.8,78.35,0.95,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-04,2015,6,155,0,17.95,18.68,86.06,1.04,72.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-06-05,2015,6,156,0,0.19,20.14,75.97,1.25,72.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-06,2015,6,157,0,0.02,19.94,63.13,1.43,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-07,2015,6,158,0,0.0,19.62,61.72,1.14,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-08,2015,6,159,0,0.0,19.86,65.86,1.17,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-09,2015,6,160,0,0.0,19.38,68.96,1.37,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-10,2015,6,161,0,0.09,19.77,69.17,1.31,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-11,2015,6,162,0,0.34,20.35,69.48,1.11,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-12,2015,6,163,0,0.4,19.91,71.92,0.93,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-13,2015,6,164,0,0.88,19.87,72.22,0.94,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-14,2015,6,165,0,0.78,19.82,70.44,0.89,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-15,2015,6,166,0,0.02,21.15,64.21,0.87,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-16,2015,6,167,0,0.47,21.44,66.55,0.92,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-17,2015,6,168,0,1.76,20.58,73.5,0.9,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-18,2015,6,169,0,19.93,19.58,79.56,1.03,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-19,2015,6,170,0,5.4,18.1,86.6,1.1,71.0,moderate
Nyabarongo Basin (Muhanga),moderate,2015-06-20,2015,6,171,0,2.66,18.62,78.83,1.57,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-21,2015,6,172,0,0.02,19.12,68.48,1.34,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-22,2015,6,173,0,0.12,19.09,69.34,1.42,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-23,2015,6,174,0,0.07,19.34,67.25,1.31,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-24,2015,6,175,0,0.21,19.73,69.24,1.31,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-25,2015,6,176,0,0.22,20.26,67.24,1.09,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-26,2015,6,177,0,1.22,19.55,70.87,1.35,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-27,2015,6,178,0,0.02,19.72,70.73,1.58,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-28,2015,6,179,0,0.01,20.27,66.51,1.23,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-29,2015,6,180,0,0.09,20.04,68.68,1.15,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-06-30,2015,6,181,0,3.8,20.23,74.42,1.21,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-01,2015,7,182,0,1.11,20.38,74.12,1.7,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-02,2015,7,183,0,1.08,19.6,76.89,1.52,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-03,2015,7,184,0,2.06,19.93,74.83,1.6,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-04,2015,7,185,0,3.32,19.51,73.5,1.4,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-05,2015,7,186,0,0.0,19.33,67.4,1.68,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-06,2015,7,187,0,0.0,19.0,63.1,1.88,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-07,2015,7,188,0,0.0,18.53,67.56,2.08,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-08,2015,7,189,0,0.0,19.59,70.37,1.74,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-09,2015,7,190,0,0.0,20.43,65.65,1.77,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-10,2015,7,191,0,0.0,20.75,64.44,1.81,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-11,2015,7,192,0,0.0,20.08,62.94,1.71,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-12,2015,7,193,0,0.0,19.59,58.08,1.6,65.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-13,2015,7,194,0,0.0,19.75,57.17,1.45,64.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-14,2015,7,195,0,0.0,20.51,58.78,1.44,64.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-15,2015,7,196,0,0.0,19.58,61.43,1.58,64.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-16,2015,7,197,0,0.0,20.49,56.4,1.14,64.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-17,2015,7,198,0,0.09,21.83,52.72,0.72,64.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-18,2015,7,199,0,0.06,22.39,55.61,1.08,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-19,2015,7,200,0,0.37,20.71,64.91,1.54,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-20,2015,7,201,0,0.04,20.94,63.23,1.65,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-21,2015,7,202,0,0.0,21.0,60.03,1.46,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-22,2015,7,203,0,0.0,20.53,62.98,1.38,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-23,2015,7,204,0,0.02,20.85,58.33,1.55,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-24,2015,7,205,0,0.0,21.48,59.65,1.23,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-25,2015,7,206,0,0.1,21.82,61.76,1.15,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-26,2015,7,207,0,0.01,22.44,57.49,1.3,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-27,2015,7,208,0,0.0,21.74,57.83,1.55,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-28,2015,7,209,0,0.0,20.76,51.53,1.45,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-29,2015,7,210,0,0.0,19.94,54.89,1.51,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-30,2015,7,211,0,0.22,20.42,61.08,1.31,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-07-31,2015,7,212,0,1.1,21.05,64.48,1.17,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-01,2015,8,213,0,0.33,21.82,62.84,1.28,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-02,2015,8,214,0,3.11,20.54,68.47,1.83,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-03,2015,8,215,0,0.7,19.87,67.84,1.8,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-04,2015,8,216,0,0.32,20.72,63.84,1.57,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-05,2015,8,217,0,0.5,20.59,62.91,1.6,63.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-06,2015,8,218,0,0.49,21.01,61.48,1.74,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-07,2015,8,219,0,0.41,21.18,62.95,1.52,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-08,2015,8,220,0,0.01,21.25,58.98,1.69,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-09,2015,8,221,0,0.0,19.87,58.47,1.45,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-10,2015,8,222,0,0.02,20.57,56.28,1.19,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-11,2015,8,223,0,0.17,21.0,64.97,1.02,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-12,2015,8,224,0,0.06,21.87,63.3,1.39,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-13,2015,8,225,0,0.01,22.39,57.27,1.58,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-14,2015,8,226,0,0.04,22.13,59.72,1.53,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-15,2015,8,227,0,0.11,22.38,59.84,1.56,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-16,2015,8,228,0,0.0,21.97,52.28,2.08,62.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-17,2015,8,229,0,0.0,20.46,43.39,1.88,61.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-18,2015,8,230,0,0.0,20.99,47.0,1.39,61.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-19,2015,8,231,0,0.01,22.37,46.68,1.37,61.0,low
Nyabarongo Basin (Muhanga),moderate,2015-08-20,2015,8,232,0,0.03,22.9,49.25,1.54,61.0,low
